mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.016247892379760744,0.004186697322312519,0.009558916091918945,0.002015389003010112,0.7880462815669912,{'model__alpha': 0.7880462815669912},0.41892827385785814,0.5343678913130614,0.37958176507333274,0.5141470044316625,0.5084002822361999,0.47108504338242285,0.06057170450116515,20,0.5622909523800328,0.5433618153304735,0.5754356675042194,0.5507354563090199,0.5504919098573564,0.5564631602762204,0.01126078909321943
0.010914421081542969,0.0008311455588349346,0.008422088623046876,0.0007676242907314954,1.2689610031679222,{'model__alpha': 1.2689610031679222},0.41707455379575564,0.5337333569545455,0.3808705357404909,0.5123146352390504,0.5085498381739622,0.4705085839807609,0.0601372266306422,22,0.5621323673030453,0.5422863711490017,0.5736419888311229,0.5500168147978632,0.5488485733983037,0.5553852230958674,0.011153124847441648
0.010959482192993164,0.0006139873568380454,0.008387565612792969,0.0009264631972830008,2.0433597178569416,{'model__alpha': 2.0433597178569416},0.41614186317012924,0.533423867825684,0.3818755360596878,0.5110160962587977,0.5087567878506116,0.4702428302329821,0.0597884955183191,24,0.562007006477766,0.5414688920256564,0.5723183496734119,0.5494792688139065,0.5476105339830419,0.5545768101947565,0.011102265453428312
0.009332704544067382,0.0003444209812421506,0.008501148223876953,0.0033703069012887272,3.2903445623126677,{'model__alpha': 3.2903445623126677},0.4160534489043365,0.5333884151538235,0.38281208541320966,0.5101442693158795,0.5091172261126788,0.47030308897998563,0.059449666817958415,23,0.5618892790596515,0.5408457394390912,0.5713589955345149,0.5490787461077706,0.5467129078042843,0.5539771335890625,0.011080865120824642
0.009318017959594726,8.929921332647808e-05,0.00919933319091797,0.00470283625512308,5.298316906283707,{'model__alpha': 5.298316906283707},0.416816721632723,0.5335296680560704,0.38381319903612066,0.5095799119642915,0.5097351472031934,0.47069492957847975,0.059051979137635005,21,0.561736581029577,0.5403180136955021,0.5706225267871964,0.5487430386646841,0.5460392371285174,0.5534918794610955,0.011073195452275171
0.013946437835693359,0.005643946551081912,0.008093833923339844,0.0006038289117121344,8.531678524172804,{'model__alpha': 8.531678524172804},0.41852877801635013,0.533691939793254,0.38495177227691657,0.5091929005345777,0.5107292992958218,0.471418937983384,0.05852186475906862,19,0.5614710901118798,0.5397569367408004,0.569950358771433,0.5483649631594543,0.5454371317546589,0.5529960961076452,0.011073691534973978
0.014297294616699218,0.004647530639626924,0.008104419708251953,0.0006377303761989101,13.738237958832636,{'model__alpha': 13.738237958832636},0.421323939640591,0.5336170510814412,0.3862524009585274,0.5087890316104144,0.5121996726891123,0.47243641919601725,0.057768276833347065,17,0.560938243420738,0.5389716051690665,0.5691433125276084,0.5477651143435762,0.5446850916210417,0.5523006734164062,0.011086158490091926
0.009713029861450196,0.0008743953538931451,0.010182571411132813,0.004923291458702922,22.1221629107045,{'model__alpha': 22.1221629107045},0.42523241025512903,0.5328427318957291,0.38768037965129565,0.5079907615275883,0.5141132153583321,0.4735718997376148,0.05666629920871343,15,0.5598266527087016,0.53762718243921,0.5678921674251503,0.5466151196467475,0.5434019229089473,0.5510726090257513,0.011126715227005013
0.014721393585205078,0.005268254411965444,0.012224435806274414,0.004342578456649275,35.622478902624444,{'model__alpha': 35.622478902624444},0.4299244826071499,0.5305241950810049,0.3890931417063971,0.5060434176727671,0.516069237632979,0.47433089494005964,0.055032471073281033,12,0.55753670905422,0.5351094704005439,0.5656554126865541,0.5443136422729833,0.5408970298615579,0.5487024528551718,0.01122855634605154
0.013430166244506835,0.003413537579827185,0.012854290008544923,0.006915256977754928,57.361525104486816,{'model__alpha': 57.361525104486816},0.43439097345176403,0.5252206494559486,0.39014027339826796,0.501587840652908,0.5169629869462105,0.47366054478101977,0.05259508477131167,14,0.553012273828835,0.5303656752616357,0.5614871777500203,0.5398323862063272,0.5359966311022144,0.5441388288298066,0.011438914524772088
0.013515996932983398,0.005866273355763162,0.00840902328491211,0.00105005666015443,92.36708571873866,{'model__alpha': 92.36708571873866},0.4367363918468451,0.514796987095868,0.3901286969236267,0.4925505238567839,0.5147062439309105,0.4697837687308068,0.048988985145986506,25,0.5446063535424999,0.5218125541905478,0.5538600097788045,0.5316030818231938,0.5269454864575066,0.5357654971585106,0.011793006709274984
0.01640157699584961,0.007791113024892291,0.011515998840332031,0.003643461255634968,148.73521072935117,{'model__alpha': 148.73521072935117},0.43423447305055585,0.49663687807609114,0.387900196141427,0.4763605652417706,0.5062645661096918,0.4602793357239072,0.043845622268830035,26,0.5300800798898515,0.5074155421087181,0.5405773079102645,0.517539833193577,0.5114963714665931,0.5214218269138009,0.012260981624018733
0.011776876449584962,0.00354852997089403,0.007573652267456055,0.0006687464499223107,239.50266199874858,{'model__alpha': 239.50266199874858},0.42353905777099676,0.46820286195591665,0.38166854547322515,0.4505376528330848,0.4881241119149977,0.4424144459896442,0.03705872948829621,27,0.5067889681681977,0.4849178938946762,0.5188553685145318,0.4952213100457248,0.48718693575132355,0.49859409527489074,0.012698130475146539
0.010939455032348633,0.0007688360572140879,0.008806514739990234,0.0011710863098923152,385.6620421163472,{'model__alpha': 385.6620421163472},0.4009728704494342,0.42775518552493674,0.3687406625735389,0.41341723119426543,0.457066552725397,0.4135905004935145,0.029194341887893945,28,0.4721260588470456,0.4521350627913101,0.4856831536986118,0.4622311512366476,0.45176352270022846,0.4647877898547687,0.012858661361498562
0.011190223693847656,0.0008154706107946784,0.007765960693359375,0.0005013989404342181,621.0169418915616,{'model__alpha': 621.0169418915616},0.3633731656056748,0.3751132855482593,0.3456570226159873,0.3647863081758871,0.4112645706233573,0.37203887051383316,0.021779823587037506,29,0.4244379704389992,0.4075268375181579,0.4387933693079602,0.4168658694448987,0.40396538277284877,0.4183178858965729,0.012500002228273235
0.014447784423828125,0.003891915153215988,0.00840620994567871,0.0007251048262067842,1000.0,{'model__alpha': 1000.0},0.3099726565268144,0.3124723844393702,0.30978466688640416,0.3064630940640851,0.35177712262062844,0.3180939849074605,0.016949539937584867,30,0.3644690595190221,0.3514164158194538,0.37841606124938376,0.35946212136565336,0.34484842586104236,0.35972241676291106,0.011508918040860239
