model,cv_mse,cv_rmse,cv_mae,cv_r2,val_mse,val_rmse,val_mae,val_r2,val_adj_r2
Linear,0.1718172500384639,0.4145084438687153,0.3321737369112337,0.43104682298914143,0.16106419888230034,0.4013280439768698,0.30963079867021664,0.42716358642841745,0.22446762470308823
RidgeCV,0.17230697432273998,0.4150987524948009,0.3345758078214075,0.42888667575780237,0.16086347780455693,0.40107789493383567,0.3093965235423554,0.42787746538538396,0.22543410698328914
LassoCV,0.16979242854311644,0.4120587683123809,0.3338798897270893,0.43604212551442084,0.15037430841552724,0.38778126362103577,0.30119256313946724,0.4651829511224561,0.2759399953657867
