mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.08194818496704101,0.015587382516926951,0.009123659133911133,0.0008535822878433169,0.001,{'model__alpha': 0.001},0.4559659958054735,0.5418158574839744,0.33889936843317636,0.5342168356098149,0.5019542240433595,0.4745704562751597,0.07427284202754869,4,0.5637877487259312,0.5506185967579447,0.5888455799194556,0.5557792046979019,0.560832389362298,0.5639727038927063,0.013221356602312823
0.07311038970947266,0.010939886591321626,0.01134486198425293,0.004796412463082461,0.0013738237958832622,{'model__alpha': 0.0013738237958832622},0.4555805215306301,0.5418001561713555,0.33912857064069146,0.5341332498371785,0.5020045902457083,0.4745294176851128,0.0741960972245181,5,0.5637863874436362,0.5506175984011548,0.5888445859314386,0.5557782017721871,0.5608314531533705,0.5639716453403574,0.013221356876404076
0.06905913352966309,0.011640020425806363,0.013725662231445312,0.0053133901004467415,0.0018873918221350978,{'model__alpha': 0.0018873918221350978},0.4550457809017546,0.541778287050341,0.3394425482954596,0.5340177911769267,0.5020734749544302,0.4744715764757824,0.07409184807822528,6,0.5637838135998776,0.5506157143062111,0.5888427102103666,0.5557763089977199,0.560829686401019,0.563969646703039,0.013221357465044926
0.07278141975402833,0.006964027881122365,0.008676958084106446,7.9949737938124e-05,0.002592943797404667,{'model__alpha': 0.002592943797404667},0.4543026026283413,0.5417476788520943,0.339872231335826,0.5338579908147221,0.5021675330379789,0.47438960733379254,0.0739508266246456,7,0.5637789389296551,0.5506121586779438,0.5888391704518715,0.5557727369931944,0.5608263522043451,0.563965871451402,0.013221358667878085
0.06324267387390137,0.009642545566733319,0.01432352066040039,0.006294914124644925,0.003562247890262444,{'model__alpha': 0.003562247890262444},0.4532714364090993,0.5417045649789196,0.3404593466211471,0.5336362223065412,0.5022956542477692,0.4742734449126953,0.07376101513954483,8,0.5637697395232639,0.5506054488734754,0.5888324913114062,0.5557659961466577,0.5608200606359754,0.5639587472981558,0.013221361271729752
0.070835542678833,0.005040294171526162,0.009010887145996094,0.0008161328470662071,0.004893900918477494,{'model__alpha': 0.004893900918477494},0.4518355930364347,0.5416433282627542,0.3412599724391806,0.5333273396229024,0.5024696053199271,0.4741071677362398,0.07350780902807744,9,0.5637523791436132,0.5505927877429306,0.5888198887790549,0.5557532757722397,0.5608081890746202,0.5639453041024918,0.013221366758889689
0.06739907264709473,0.011159766909870167,0.01270608901977539,0.004258594712987536,0.006723357536499335,{'model__alpha': 0.006723357536499335},0.4498266719377968,0.5415554112633854,0.34234858900891274,0.532895046953623,0.5027046968393836,0.4738660832006203,0.07317468674928072,10,0.5637196180947552,0.5505688975041949,0.5887961132756236,0.5557292734195411,0.5607857897344897,0.5639199384057209,0.01322137949193198
0.07020955085754395,0.003234337612026987,0.009636020660400391,0.0012985304277940955,0.009236708571873864,{'model__alpha': 0.009236708571873864},0.4469982603562054,0.5414274875319451,0.3438229579193117,0.5322861522143965,0.5030203302955312,0.4735110376634779,0.07274597170033266,11,0.5636577977171549,0.5505238248635637,0.5887512625581005,0.5556839853381552,0.5607435326151011,0.563872080618415,0.013221408849092594
0.058858489990234374,0.006955299506857388,0.00943584442138672,0.0012024199672062946,0.01268961003167922,{'model__alpha': 0.01268961003167922},0.44298297132390374,0.5412382548958775,0.34580860713368766,0.531421335234477,0.5034401383281635,0.4729782613832219,0.07221465769527474,14,0.5635411404569491,0.5504387910454618,0.5886666651499698,0.5555985428020669,0.5606638208744474,0.563781792065779,0.013221481087255849
0.04941458702087402,0.007533048203106516,0.010553073883056641,0.0029598088013047166,0.017433288221999882,{'model__alpha': 0.017433288221999882},0.437222044879768,0.5409528473326198,0.34846148434673196,0.5301797378601284,0.5039908883153332,0.47216140054691624,0.07160158482802997,16,0.5633210063145857,0.550278387738993,0.5885071245011756,0.5554373472591885,0.5605134667261065,0.5636114665080099,0.013221671389352225
